"nom","matchs","dob","pob","city","no","decade","first_selection","last_selection","premiere_selection","derniere_selection","points","url","birth_info","first","last","lat","long"
"Jean Domercq",2,"1886-12-20","Orthez (France)","Orthez",78,1910-01-01,1912-01-01,1912-01-20,"le 1er janvier 1912 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Jean_Domercq","Naissance	20 décembre 1886
à Orthez (France)	","1er janvier 1912","20 janvier 1912",43.4874963,-0.7738363
"Julien Dufau",4,"1888-02-18","Biarritz (France)","Biarritz",79,1910-01-01,1912-01-01,1912-04-08,"le 1er janvier 1912 contre l'Irlande","le 8 avril 1912 contre l'Angleterre",6,"https://fr.wikipedia.org//wiki/Julien_Dufau_(rugby_%C3%A0_XV)","Naissance	18 février 1888
à Biarritz (France)	","1er janvier 1912","8 avril 1912",43.47114375,-1.55272659066631
"Daniel Ihingoue[Note 4],[5]",2,NA,NA,NA,80,1910-01-01,1912-01-01,1912-01-20,"le 1er janvier 1912 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",0,"https://fr.wikipedia.org//w/index.php?title=Daniel_Ihingoue&action=edit&redlink=1",NA,"1er janvier 1912","20 janvier 1912",NA,NA
"Jean Larribau",7,"1889-03-02","Anglet (France)","Anglet",81,1910-01-01,1912-01-01,1914-04-13,"le 1er janvier 1912 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",3,"https://fr.wikipedia.org//wiki/Jean_Larribau","Naissance	2 mars 1889
à Anglet (France)	","1er janvier 1912","13 avril 1914",43.4813927,-1.5149935
"Édouard Vallot",1,NA,NA,NA,82,1910-01-01,1912-01-20,1912-01-20,"le 20 janvier 1912 contre l'Écosse","le 20 janvier 1912 contre l'Écosse",0,"https://fr.wikipedia.org//w/index.php?title=%C3%89douard_Vallot_(rugby)&action=edit&redlink=1",NA,"20 janvier 1912","20 janvier 1912",NA,NA
"Jacques Forestier",1,"1890-07-27","Aix-les-Bains","Aix-les-Bains",83,1910-01-01,1912-03-25,1912-03-25,"le 25 mars 1912 contre le pays de Galles","le 25 mars 1912 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Jacques_Forestier","Naissance	
27 juillet 1890
Aix-les-Bains","25 mars 1912","25 mars 1912",45.6886292,5.9146362
"Marcel Monniot",2,"1885-03-17","Paris (France)","Paris",84,1910-01-01,1912-03-25,1912-04-08,"le 25 mars 1912 contre le pays de Galles","le 8 avril 1912 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Marcel_Monniot","Naissance	17 mars 1885
à Paris (France)	","25 mars 1912","8 avril 1912",48.8534951,2.3483915
"Jean-René Pascarel",6,NA,NA,NA,85,1910-01-01,1912-03-25,1913-03-24,"le 25 mars 1912 contre le pays de Galles","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Jean-Ren%C3%A9_Pascarel&action=edit&redlink=1",NA,"25 mars 1912","24 mars 1913",NA,NA
"Jean Sentilles",4,NA,NA,NA,86,1910-01-01,1912-03-25,1913-01-11,"le 25 mars 1912 contre le pays de Galles","le 11 janvier 1913 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//w/index.php?title=Jean_Sentilles&action=edit&redlink=1",NA,"25 mars 1912","11 janvier 1913",NA,NA
"Hélier Thil[Note 5]",6,"1881-02-10","Pau (France)","Pau",87,1910-01-01,1912-03-25,1913-02-27,"le 25 mars 1912 contre le pays de Galles","le 27 février 1913 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/H%C3%A9lier_Thil","Naissance	10 février 1881
à Pau (France)	","25 mars 1912","27 février 1913",43.2957547,-0.3685668
"Maurice Hedembaigt",3,NA,NA,NA,88,1910-01-01,1913-01-01,1914-03-02,"le 1er janvier 1913 contre l'Écosse","le 2 mars 1914 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Maurice_Hedembaigt&action=edit&redlink=1",NA,"1er janvier 1913","2 mars 1914",NA,NA
"Pierre Jauréguy",4,NA,NA,NA,89,1910-01-01,1913-01-01,1913-03-24,"le 1er janvier 1913 contre l'Écosse","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Pierre_Jaur%C3%A9guy&action=edit&redlink=1",NA,"1er janvier 1913","24 mars 1913",NA,NA
"Jean Sébédio",9,"1890-12-12","Saint-Jean-de-Luz (France)","Saint-Jean-de-Luz",90,1910-01-01,1913-01-01,1923-03-20,"le 1er janvier 1913 contre l'Écosse","le 20 mars 1923 contre l'Écosse",3,"https://fr.wikipedia.org//wiki/Jean_S%C3%A9b%C3%A9dio","Naissance	12 décembre 1890
à Saint-Jean-de-Luz (France)	","1er janvier 1913","20 mars 1923",43.3881,-1.6631
"Georges André",7,"1889-08-13",NA,NA,91,1910-01-01,1913-01-11,1914-04-13,"le 11 janvier 1913 contre l'Afrique du Sud","le 13 avril 1914 contre l'Angleterre",11,"https://fr.wikipedia.org//wiki/Georges_Andr%C3%A9","Naissance	13 août 1889	","11 janvier 1913","13 avril 1914",NA,NA
"Albert Chatau",1,NA,NA,NA,92,1910-01-01,1913-01-11,1913-01-11,"le 11 janvier 1913 contre l'Afrique du Sud","le 11 janvier 1913 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//w/index.php?title=Albert_Chatau&action=edit&redlink=1",NA,"11 janvier 1913","11 janvier 1913",NA,NA
"Marcel Favre",2,NA,NA,NA,93,1910-01-01,1913-01-25,1913-02-27,"le 25 janvier 1913 contre l'Angleterre","le 27 février 1913 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Marcel_Favre&action=edit&redlink=1",NA,"25 janvier 1913","27 février 1913",NA,NA
"Clovis Bioussa",3,"1893-10-09","Toulouse (France)","Toulouse",94,1910-01-01,1913-02-27,1914-01-01,"le 27 février 1913 contre le pays de Galles","le 1er janvier 1914 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Clovis_Bioussa","Naissance	9 octobre 1893
à Toulouse (France)	","27 février 1913","1er janvier 1914",43.6044622,1.4442469
"Gustave Podevin",2,NA,NA,NA,95,1910-01-01,1913-02-27,1913-03-24,"le 27 février 1913 contre le pays de Galles","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Gustave_Podevin&action=edit&redlink=1",NA,"27 février 1913","24 mars 1913",NA,NA
"Jean Semmartin",2,"1892-04-30","Ars en Ré (France)","Ars en Ré",96,1910-01-01,1913-02-27,1913-03-24,"le 27 février 1913 contre le pays de Galles","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Jean_Semmartin","Naissance	30 avril 1892
à Ars en Ré (France)	","27 février 1913","24 mars 1913",46.208056,-1.515833
"Philippe Struxiano",7,"1891-03-11","Toulouse (France)","Toulouse",97,1910-01-01,1913-02-27,1920-10-10,"le 27 février 1913 contre le pays de Galles","le 10 octobre 1920 contre les États-Unis",6,"https://fr.wikipedia.org//wiki/Philippe_Struxiano","Naissance	11 mars 1891
à Toulouse (France)	","27 février 1913","10 octobre 1920",43.6044622,1.4442469
"Albert Eutrope",1,"1888-01-10","Cayenne (Guyane)","Cayenne",98,1910-01-01,1913-03-24,1913-03-24,"le 24 mars 1913 contre l'Irlande","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Albert_Eutrope","Naissance	10 janvier 1888
à Cayenne (Guyane)	","24 mars 1913","24 mars 1913",4.9371143,-52.3258307
"Henri Tavernier",1,NA,NA,NA,99,1910-01-01,1913-03-24,1913-03-24,"le 24 mars 1913 contre l'Irlande","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Tavernier&action=edit&redlink=1",NA,"24 mars 1913","24 mars 1913",NA,NA
"Jean-Marie Arnal",2,"1892-11-15","8e arrondissement de Paris","Paris",100,1910-01-01,1914-01-01,1914-03-02,"le 1er janvier 1914 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Jean-Marie_Arnal","Naissance	
15 novembre 1892
8e arrondissement de Paris","1er janvier 1914","2 mars 1914",48.8774799,2.31765
"Paul Faure",3,NA,NA,NA,101,1910-01-01,1914-01-01,1914-04-13,"le 1er janvier 1914 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Paul_Faure_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"1er janvier 1914","13 avril 1914",NA,NA
"Robert Lacoste",3,NA,NA,NA,102,1910-01-01,1914-01-01,1914-04-13,"le 1er janvier 1914 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",3,"https://fr.wikipedia.org//w/index.php?title=Robert_Lacoste_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"1er janvier 1914","13 avril 1914",NA,NA
"René Lasserre",15,"1895-10-09","Bayonne (France)","Bayonne",103,1910-01-01,1914-01-01,1924-05-18,"le 1er janvier 1914 contre l'Irlande","le 18 mai 1924 contre les États-Unis",10,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Lasserre","Naissance	9 octobre 1895
à Bayonne (France)	","1er janvier 1914","18 mai 1924",43.4945144,-1.4736657
"Raphaël Lavaud",2,"1888-01-18","Bordeaux (France)","Bordeaux",104,1910-01-01,1914-01-01,1914-03-02,"le 1er janvier 1914 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Rapha%C3%ABl_Lavaud","Naissance	18 janvier 1888
à Bordeaux (France)	","1er janvier 1914","2 mars 1914",44.841225,-0.5800364
"Marcel-Frederic Lubin-Lebrere",15,"1891-07-21","Agen","Agen",105,1910-01-01,1914-01-01,1925-01-01,"le 1er janvier 1914 contre l'Irlande","le 1er janvier 1925 contre l'Irlande",6,"https://fr.wikipedia.org//wiki/Marcel-Frederic_Lubin-Lebrere","Naissance	
21 juillet 1891
Agen","1er janvier 1914","1er janvier 1925",44.2015827,0.6176112
"Gilbert Pierrot",3,"1889-02-03","Bizanos","Bizanos",106,1910-01-01,1914-01-01,1914-04-13,"le 1er janvier 1914 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Gilbert_Pierrot","Naissance	
3 février 1889
Bizanos","1er janvier 1914","13 avril 1914",43.2887961,-0.3531403
"François Poeydebasque[Note 6],[6]",2,NA,NA,NA,107,1910-01-01,1914-01-01,1914-03-02,"le 1er janvier 1914 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Fran%C3%A7ois_Poeydebasque&action=edit&redlink=1",NA,"1er janvier 1914","2 mars 1914",NA,NA
"Lucien Besset",2,NA,NA,NA,108,1910-01-01,1914-03-02,1914-04-13,"le 2 mars 1914 contre le pays de Galles","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Lucien_Besset",NA,"2 mars 1914","13 avril 1914",NA,NA
"Robert Desvouges",1,NA,NA,NA,109,1910-01-01,1914-03-02,1914-03-02,"le 2 mars 1914 contre le pays de Galles","le 2 mars 1914 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Robert_Desvouges&action=edit&redlink=1",NA,"2 mars 1914","2 mars 1914",NA,NA
"Paulin Bascou",1,"1889-03-15","Urrugne","Urrugne",110,1910-01-01,1914-04-13,1914-04-13,"le 13 avril 1914 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Paulin_Bascou","Naissance	15 mars 1889
à Urrugne	","13 avril 1914","13 avril 1914",43.3624715,-1.7003017
"Jean-Louis Capmau",1,NA,NA,NA,111,1910-01-01,1914-04-13,1914-04-13,"le 13 avril 1914 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",3,"https://fr.wikipedia.org//w/index.php?title=Jean-Louis_Capmau&action=edit&redlink=1",NA,"13 avril 1914","13 avril 1914",NA,NA
"Emmanuel Iguinitz[Note 7],[7]",1,NA,NA,NA,112,1910-01-01,1914-04-13,1914-04-13,"le 13 avril 1914 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Emmanuel_Iguinitz&action=edit&redlink=1",NA,"13 avril 1914","13 avril 1914",NA,NA
"Eugène Billac",9,"1898-03-16","Bayonne (France)","Bayonne",113,1920-01-01,1920-01-01,1923-04-02,"le 1er janvier 1920 contre l'Écosse","le 2 avril 1923 contre l'Angleterre",6,"https://fr.wikipedia.org//wiki/Eug%C3%A8ne_Billac","Naissance	16 mars 1898
à Bayonne (France)	","1er janvier 1920","2 avril 1923",43.4945144,-1.4736657
"Aimé Cassayet-Armagnac",31,"1893-04-09","Mont-de-Marsan (France)","Mont-de-Marsan",114,1920-01-01,1920-01-01,1927-02-26,"le 1er janvier 1920 contre l'Écosse","le 26 février 1927 contre le pays de Galles",9,"https://fr.wikipedia.org//wiki/Aim%C3%A9_Cassayet-Armagnac","Naissance	9 avril 1893
à Mont-de-Marsan (France)	","1er janvier 1920","26 février 1927",43.8911318,-0.500972
"André Chilo",4,"1898-07-05","Bordeaux","Bordeaux",115,1920-01-01,1920-01-01,1925-01-18,"le 1er janvier 1920 contre l'Écosse","le 18 janvier 1925 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Chilo","Naissance	
5 juillet 1898
Bordeaux","1er janvier 1920","18 janvier 1925",44.841225,-0.5800364
"René Crabos",17,"1899-02-07","Saint-Sever (France)","Saint-Sever",116,1920-01-01,1920-01-01,1924-01-26,"le 1er janvier 1920 contre l'Écosse","le 26 janvier 1924 contre l'Irlande",19,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Crabos","Naissance	7 février 1899
à Saint-Sever (France)	","1er janvier 1920","26 janvier 1924",43.757456,-0.574187
"Adolphe Jauréguy",31,"1898-02-18","Ostabat (France)","Ostabat",117,1920-01-01,1920-01-01,1929-04-01,"le 1er janvier 1920 contre l'Écosse","le 1er avril 1929 contre l'Angleterre",42,"https://fr.wikipedia.org//wiki/Adolphe_Jaur%C3%A9guy","Naissance	18 février 1898
à Ostabat (France)	","1er janvier 1920","1er avril 1929",43.2562497,-1.0708405
"Joseph Laurent",3,"1823-01-31","Bagnols-sur-Cèze","Bagnols-sur-Cèze",118,1920-01-01,1920-01-01,1920-02-17,"le 1er janvier 1920 contre l'Écosse","le 17 février 1920 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Joseph_Laurent","Naissance	
31 janvier 1823
Bagnols-sur-Cèze","1er janvier 1920","17 février 1920",44.160481,4.6235831
"Robert Marchand",2,NA,NA,NA,119,1920-01-01,1920-01-01,1920-02-17,"le 1er janvier 1920 contre l'Écosse","le 17 février 1920 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Robert_Marchand_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"1er janvier 1920","17 février 1920",NA,NA
"Pierre Pons",6,"1894-09-16","Llupia (France)","Llupia",120,1920-01-01,1920-01-01,1922-01-02,"le 1er janvier 1920 contre l'Écosse","le 2 janvier 1922 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Pierre_Pons","Naissance	16 septembre 1894
à Llupia (France)	","1er janvier 1920","2 janvier 1922",42.6227781,2.7703201
"Louis Puech",5,"1894-12-04","Gorses (France)","Gorses",121,1920-01-01,1920-01-01,1921-04-09,"le 1er janvier 1920 contre l'Écosse","le 9 avril 1921 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Louis_Puech_(rugby_%C3%A0_XV)","Naissance	4 décembre 1894
à Gorses (France)	","1er janvier 1920","9 avril 1921",44.7941136,2.0244775
"Paul Serre",2,"1890-08-22","Clairac (France)","Clairac",122,1920-01-01,1920-01-01,1920-01-31,"le 1er janvier 1920 contre l'Écosse","le 31 janvier 1920 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Paul_Serre","Naissance	22 août 1890
à Clairac (France)	","1er janvier 1920","31 janvier 1920",44.71955,-0.03886
"Robert Thierry",4,"1893-06-23","Brienon-sur-Armançon (France)","Brienon-sur-Armançon",123,1920-01-01,1920-01-01,1920-10-10,"le 1er janvier 1920 contre l'Écosse","le 10 octobre 1920 contre les États-Unis",0,"https://fr.wikipedia.org//wiki/Robert_Thierry","Naissance	23 juin 1893
à Brienon-sur-Armançon (France)	","1er janvier 1920","10 octobre 1920",47.9933948,3.6159046
"Théophile Cambre",4,"1894-03-24","Bordeaux (France)","Bordeaux",124,1920-01-01,1920-01-31,1920-10-10,"le 31 janvier 1920 contre l'Angleterre","le 10 octobre 1920 contre les États-Unis",0,"https://fr.wikipedia.org//wiki/Th%C3%A9ophile_Cambre","Naissance	24 mars 1894
à Bordeaux (France)	","31 janvier 1920","10 octobre 1920",44.841225,-0.5800364
"Abel Guichemerre",4,"1889-08-23","Dax (France)","Dax",125,1920-01-01,1920-01-31,1923-01-20,"le 31 janvier 1920 contre l'Angleterre","le 20 janvier 1923 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Abel_Guichemerre","Naissance	23 août 1889
à Dax (France)	","31 janvier 1920","20 janvier 1923",43.7084065,-1.0518771
"Bernard Lavigne[Note 8]",2,"1894-03-27","Lévignacq (France)","Lévignacq",126,1920-01-01,1920-01-31,1920-02-17,"le 31 janvier 1920 contre l'Angleterre","le 17 février 1920 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Bernard_Lavigne_(1894-1926)","Naissance	27 mars 1894
à Lévignacq (France)	","31 janvier 1920","17 février 1920",44.0105638,-1.1656791
"Eugène Soulié",9,"1898-01-30","14e arrondissement de Paris","Paris",127,1920-01-01,1920-01-31,1922-04-08,"le 31 janvier 1920 contre l'Angleterre","le 8 avril 1922 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Eug%C3%A8ne_Souli%C3%A9","Naissance	
30 janvier 1898
14e arrondissement de Paris","31 janvier 1920","8 avril 1922",48.8330589,2.3269591
"Maurice Biraben",10,"1892-05-20","Dax (France)","Dax",128,1920-01-01,1920-02-17,1922-04-08,"le 17 février 1920 contre le pays de Galles","le 8 avril 1922 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Maurice_Biraben","Naissance	20 mai 1892
à Dax (France)	","17 février 1920","8 avril 1922",43.7084065,-1.0518771
"Georges Constant",1,NA,NA,NA,129,1920-01-01,1920-02-17,1920-02-17,"le 17 février 1920 contre le pays de Galles","le 17 février 1920 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Georges_Constant_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"17 février 1920","17 février 1920",NA,NA
"François Borde",12,"1899-12-08",NA,NA,130,1920-01-01,1920-04-03,1926-02-27,"le 3 avril 1920 contre l'Irlande","le 27 février 1926 contre l'Angleterre",3,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Borde","Naissance	8 décembre 1899	","3 avril 1920","27 février 1926",NA,NA
"William Gayraud",1,"1898-05-01","Laroque-Timbaut (France)","Laroque-Timbaut",131,1920-01-01,1920-04-03,1920-04-03,"le 3 avril 1920 contre l'Irlande","le 3 avril 1920 contre l'Irlande",3,"https://fr.wikipedia.org//wiki/William_Gayraud","Naissance	1er mai 1898
à Laroque-Timbaut (France)	","3 avril 1920","3 avril 1920",44.2839464,0.7614623
"Raoul Got",13,"1900-02-11","Perpignan (France)","Perpignan",132,1920-01-01,1920-04-03,1924-05-18,"le 3 avril 1920 contre l'Irlande","le 18 mai 1924 contre les États-Unis",18,"https://fr.wikipedia.org//wiki/Raoul_Got","Naissance	11 février 1900
à Perpignan (France)	","3 avril 1920","18 mai 1924",42.6985304,2.8953121
"Jean Larrieu",7,"1895-06-02","Toulouse (France)","Toulouse",133,1920-01-01,1920-04-03,1923-04-14,"le 3 avril 1920 contre l'Irlande","le 14 avril 1923 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Jean_Larrieu","Naissance	2 juin 1895
à Toulouse (France)	","3 avril 1920","14 avril 1923",43.6044622,1.4442469
"Pierre Moureu",17,"1895-08-24","Naissance	
24 août 1895",NA,134,1920-01-01,1920-04-03,1925-04-13,"le 3 avril 1920 contre l'Irlande","le 13 avril 1925 contre l'Angleterre",6,"https://fr.wikipedia.org//wiki/Pierre_Moureu","Naissance	
24 août 1895","3 avril 1920","13 avril 1925",NA,NA
"Jean Boubée",9,"1900-10-11","Biarritz","Biarritz",135,1920-01-01,1921-01-22,1925-01-24,"le 22 janvier 1921 contre l'Écosse","le 24 janvier 1925 contre l'Écosse",3,"https://fr.wikipedia.org//wiki/Jean_Boub%C3%A9e","Naissance	
11 octobre 1900
Biarritz","22 janvier 1921","24 janvier 1925",43.47114375,-1.55272659066631
"Jean Clément",10,"1899-09-25","Tarbes (France)","Tarbes",136,1920-01-01,1921-01-22,1923-04-14,"le 22 janvier 1921 contre l'Écosse","le 14 avril 1923 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Jean_Cl%C3%A9ment_(rugby_%C3%A0_XV)","Naissance	25 septembre 1899
à Tarbes (France)	","22 janvier 1921","14 avril 1923",43.232858,0.0781021
"Gilbert Coscolla",2,NA,NA,NA,137,1920-01-01,1921-01-22,1921-02-26,"le 22 janvier 1921 contre l'Écosse","le 26 février 1921 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Gilbert_Coscolla&action=edit&redlink=1",NA,"22 janvier 1921","26 février 1921",NA,NA
"Jean Lobies",3,NA,NA,NA,138,1920-01-01,1921-01-22,1921-03-28,"le 22 janvier 1921 contre l'Écosse","le 28 mars 1921 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Jean_Lobies&action=edit&redlink=1",NA,"22 janvier 1921","28 mars 1921",NA,NA
"Roger Piteu",15,"1899-05-14","Pau (France)","Pau",139,1920-01-01,1921-01-22,1926-02-27,"le 22 janvier 1921 contre l'Écosse","le 27 février 1926 contre l'Angleterre",6,"https://fr.wikipedia.org//wiki/Roger_Piteu","Naissance	14 mai 1899
à Pau (France)	","22 janvier 1921","27 février 1926",43.2957547,-0.3685668
"Fernand Vaquer",3,"1889-06-22","Latour-Bas-Elne (France)","Latour-Bas-Elne",140,1920-01-01,1921-01-22,1922-03-23,"le 22 janvier 1921 contre l'Écosse","le 23 mars 1922 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Fernand_Vaquer","Naissance	22 juin 1889
à Latour-Bas-Elne (France)	","22 janvier 1921","23 mars 1922",42.6076675,3.0024845
"Adolphe Bousquet",3,"1899-08-14","Maraussan (France)","Maraussan",141,1920-01-01,1921-03-28,1924-05-04,"le 28 mars 1921 contre l'Angleterre","le 4 mai 1924 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Adolphe_Bousquet","Naissance	14 août 1899
à Maraussan (France)	","28 mars 1921","4 mai 1924",43.3696,3.15399
"Edmond Cayrefourcq",1,NA,NA,NA,142,1920-01-01,1921-03-28,1921-03-28,"le 28 mars 1921 contre l'Angleterre","le 28 mars 1921 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Edmond_Cayrefourcq&action=edit&redlink=1",NA,"28 mars 1921","28 mars 1921",NA,NA
